																	
																	
																	
																	
关联物品ID	关联物品名称	Eg_关联物品名称	F交互选项	Eg_F交互选项	文本	英文文本	face1	触发关联物品	前置触发条件	是否与结局相关	触发结局	确认后文本	Eg_确认后文本	face2	回合变化	备注	
1	床头柜	Bedside Table	拾取	Pick Up	无			扳手	无	是	①触发真相	拿到扳手能做的事就有很多了	Now that I have a wrench, there's so much I can do.		所有周目初次-1，后续为0		
											②③结局二，三						
			查看	Examine	常用的工具放在这里	The tools I use most are kept here.		无	无	否	无	无			消耗0		
																	
2	带数据线的床	Bed with a Power Cord	Examine	查看	Examine	你对它很熟悉，因为你每天都睡在这里	You know it well. You sleep here every night, after all.		无	无	无	无	无			无		
			掀起	Lift	你做出了从没做过的决定——把床垫掀起。	You make an unprecedented decision—to lift the mattress.		开关	任一周目解锁真相	是	结局二（步骤①）	一个红色按钮？按还是不按呢？	A red button? Should I press it or not?		0；再次F交互，【按下】发现方向盘	第二次触发F交互按下/取消	
					平常谁会关心床垫下有什么	Who normally cares what's under a mattress?											
								方向盘	按下开关	是	结局二（步骤②）	我的房间竟然隐藏着这么多我不知道的事......	Who knew my room was hiding so many secrets from me...		-1		
			拾取	Pick Up	绳子能有什么用？先扯了再说	What's this rope for? Only one way to find out—give it a pull.		绳子	①任一周目解锁真相	是	结局三（步骤③）	绳子也许真能有用...我需要这样相信着	Maybe this rope really will come in handy... I have to believe that.		-1		
									②本周目已拾取剪刀								
					......力量不足以扯断绳子	...I'm not strong enough to break the rope.			无	否	无	无			无		
3	茶具		查看	Examine	它为什么会在天上？	Why is it up there?		无	无	无	无	无			无		
			喝茶	Drink Tea	为生活忙碌的同时，也不要忘记享受呀。	Don't get so busy living that you forget to enjoy it.		无	无	无	无	random(偶尔休息一下也不错/生活本该如此/是不是喝多了呢）	It's nice to take a break once in a while./This is how life should be./Did I have too much to drink?		-1		
			放入	Put In	你回到了地面	You're back on the ground.		无	无	无	无	无			0		
			取出	Take Out	难得一见的神奇体验	A rare and magical experience.		无	无	无	无	无			无		
